dataset,method,seeds,accuracy_mean,accuracy_std,worst_tpr_mean,worst_tpr_std,mean_tpr_mean,mean_tpr_std
flowers,FedAvg,3,0.6609204748739632,0.0030119139986098855,0.046875,0.027063293868263706,0.019097222222222224,0.0065536757250614155
flowers,Prompt-DP,3,0.6170108960806635,0.020722798413166918,0.057291666666666664,0.009021097956087902,0.019097222222222224,0.007955860581520556
flowers,HAMP,3,0.5470808261505936,0.012047655994439542,0.03125,0.027063293868263706,0.012152777777777778,0.014342631633557557
flowers,VEIL,3,0.620100829403155,0.0013311681203240714,0.057291666666666664,0.023867581744561668,0.011284722222222222,0.0065536757250614155
flowers,DP-FPL,3,0.5552122296308343,0.10547680983735848,0.078125,0.015625,0.026041666666666668,0.009389456446520806
flowers,FedASK,3,0.5269691548761316,0.14257764648471236,0.0625,0.03125,0.025173611111111112,0.012846049120615226
caltech101,FedAvg,3,0.8677173720559589,0.0037481867342866546,0.057291666666666664,0.07384086916019701,0.014756944444444444,0.015697171284744033
caltech101,Prompt-DP,3,0.8112272002833363,0.03821882161455575,0.078125,0.071602745233685,0.02777777777777778,0.03297468734934476
caltech101,HAMP,3,0.7971194144383449,0.01145089961913195,0.10416666666666667,0.12725824711323558,0.03211805555555556,0.029615836995194416
caltech101,VEIL,3,0.8039667079865416,0.007036768721907428,0.041666666666666664,0.04510548978043952,0.013020833333333334,0.01584052742265161
caltech101,DP-FPL,3,0.7428132931940263,0.048600875732049985,0.036458333333333336,0.009021097956087902,0.013020833333333334,0.005208333333333334
caltech101,FedASK,3,0.6063396493713475,0.23080762003318275,0.078125,0.04133986423538423,0.026041666666666664,0.015624999999999998
dtd,FedAvg,3,0.4671985815602837,0.009309777016188004,0.036458333333333336,0.009021097956087902,0.013020833333333334,0.004510548978043952
dtd,Prompt-DP,3,0.37553191489361704,0.02885607657450816,0.015625,0.0,0.004340277777777778,0.0015035163260146503
dtd,HAMP,3,0.4322695035460993,0.002729575233748333,0.03125,0.0,0.013020833333333334,0.002604166666666667
dtd,VEIL,3,0.37624113475177307,0.023138807363755603,0.041666666666666664,0.009021097956087902,0.01909722222222222,0.0030070326520293
dtd,DP-FPL,3,0.3556737588652482,0.027228293386963507,0.020833333333333332,0.023867581744561668,0.006076388888888889,0.006553675725061415
dtd,FedASK,3,0.33297872340425533,0.026844580597756476,0.052083333333333336,0.05487319662944135,0.017361111111111112,0.018291065543147116
