dataset,method,attack,tpr_mean,tpr_std
flowers,FedAvg,fedmia_loss,0.005208333333333333,0.009021097956087904
flowers,FedAvg,fedmia_cosine,0.005208333333333333,0.009021097956087904
flowers,FedAvg,fedmia_joint,0.010416666666666666,0.018042195912175808
flowers,FedAvg,nasr_passive,0.041666666666666664,0.018042195912175804
flowers,FedAvg,rmia,0.026041666666666668,0.04510548978043951
flowers,FedAvg,quantile_mia,0.026041666666666668,0.009021097956087902
flowers,Prompt-DP,fedmia_loss,0.005208333333333333,0.009021097956087904
flowers,Prompt-DP,fedmia_cosine,0.015625,0.0
flowers,Prompt-DP,fedmia_joint,0.015625,0.027063293868263706
flowers,Prompt-DP,nasr_passive,0.041666666666666664,0.03608439182435161
flowers,Prompt-DP,rmia,0.0,0.0
flowers,Prompt-DP,quantile_mia,0.036458333333333336,0.009021097956087902
flowers,HAMP,fedmia_loss,0.026041666666666668,0.03252603124165832
flowers,HAMP,fedmia_cosine,0.015625,0.027063293868263706
flowers,HAMP,fedmia_joint,0.005208333333333333,0.009021097956087904
flowers,HAMP,nasr_passive,0.0,0.0
flowers,HAMP,rmia,0.005208333333333333,0.009021097956087904
flowers,HAMP,quantile_mia,0.020833333333333332,0.023867581744561668
flowers,VEIL,fedmia_loss,0.0,0.0
flowers,VEIL,fedmia_cosine,0.005208333333333333,0.009021097956087904
flowers,VEIL,fedmia_joint,0.005208333333333333,0.009021097956087904
flowers,VEIL,nasr_passive,0.010416666666666666,0.018042195912175808
flowers,VEIL,rmia,0.0,0.0
flowers,VEIL,quantile_mia,0.046875,0.04133986423538423
flowers,DP-FPL,fedmia_loss,0.0,0.0
flowers,DP-FPL,fedmia_cosine,0.026041666666666668,0.04510548978043951
flowers,DP-FPL,fedmia_joint,0.026041666666666668,0.03252603124165832
flowers,DP-FPL,nasr_passive,0.07291666666666667,0.018042195912175804
flowers,DP-FPL,rmia,0.0,0.0
flowers,DP-FPL,quantile_mia,0.03125,0.015625
flowers,FedASK,fedmia_loss,0.0,0.0
flowers,FedASK,fedmia_cosine,0.036458333333333336,0.023867581744561668
flowers,FedASK,fedmia_joint,0.020833333333333332,0.018042195912175804
flowers,FedASK,nasr_passive,0.0625,0.03125
flowers,FedASK,rmia,0.0,0.0
flowers,FedASK,quantile_mia,0.03125,0.015625
caltech101,FedAvg,fedmia_loss,0.020833333333333332,0.018042195912175804
caltech101,FedAvg,fedmia_cosine,0.0,0.0
caltech101,FedAvg,fedmia_joint,0.015625,0.015625
caltech101,FedAvg,nasr_passive,0.0,0.0
caltech101,FedAvg,rmia,0.0,0.0
caltech101,FedAvg,quantile_mia,0.052083333333333336,0.07707629472369136
caltech101,Prompt-DP,fedmia_loss,0.03125,0.04133986423538423
caltech101,Prompt-DP,fedmia_cosine,0.03125,0.05412658773652741
caltech101,Prompt-DP,fedmia_joint,0.026041666666666668,0.03252603124165832
caltech101,Prompt-DP,nasr_passive,0.052083333333333336,0.09021097956087902
caltech101,Prompt-DP,rmia,0.0,0.0
caltech101,Prompt-DP,quantile_mia,0.026041666666666668,0.03252603124165832
caltech101,HAMP,fedmia_loss,0.010416666666666666,0.009021097956087902
caltech101,HAMP,fedmia_cosine,0.036458333333333336,0.023867581744561668
caltech101,HAMP,fedmia_joint,0.041666666666666664,0.023867581744561668
caltech101,HAMP,nasr_passive,0.010416666666666666,0.018042195912175808
caltech101,HAMP,rmia,0.005208333333333333,0.009021097956087904
caltech101,HAMP,quantile_mia,0.08854166666666667,0.14004510062238285
