dataset,seed,method,scope,epsilon_upper_bound,delta,formal_dp_enabled
caltech101,42,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
caltech101,42,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
caltech101,42,FedASK,epsilon,61.51292546497023,1e-05,True
caltech101,42,Prompt-DP,epsilon,81.51292546497022,1e-05,True
caltech101,43,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
caltech101,43,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
caltech101,43,FedASK,epsilon,61.51292546497023,1e-05,True
caltech101,43,Prompt-DP,epsilon,71.51292546497022,1e-05,True
caltech101,44,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
caltech101,44,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
caltech101,44,FedASK,epsilon,61.51292546497023,1e-05,True
caltech101,44,Prompt-DP,epsilon,81.51292546497022,1e-05,True
dtd,42,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
dtd,42,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
dtd,42,FedASK,epsilon,61.51292546497023,1e-05,True
dtd,42,Prompt-DP,epsilon,46.51292546497023,1e-05,True
dtd,43,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
dtd,43,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
dtd,43,FedASK,epsilon,61.51292546497023,1e-05,True
dtd,43,Prompt-DP,epsilon,46.51292546497023,1e-05,True
dtd,44,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
dtd,44,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
dtd,44,FedASK,epsilon,61.51292546497023,1e-05,True
dtd,44,Prompt-DP,epsilon,46.51292546497023,1e-05,True
flowers,42,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
flowers,42,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
flowers,42,FedASK,epsilon,61.51292546497023,1e-05,True
flowers,42,Prompt-DP,epsilon,81.51292546497022,1e-05,True
flowers,43,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
flowers,43,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
flowers,43,FedASK,epsilon,61.51292546497023,1e-05,True
flowers,43,Prompt-DP,epsilon,76.51292546497022,1e-05,True
flowers,44,DP-FPL,local_epsilon,122.62403657608134,1e-05,True
flowers,44,DP-FPL,global_epsilon,511.5129254649701,1e-05,True
flowers,44,FedASK,epsilon,61.51292546497023,1e-05,True
flowers,44,Prompt-DP,epsilon,81.51292546497022,1e-05,True
