dataset,seed,method,accuracy,worst_tpr,mean_tpr,fedmia_loss,fedmia_cosine,nasr_passive,rmia,quantile_mia,result_dir
caltech101,42,DP-FPL,0.6890384274836197,0.046875,0.01875,0.0,0.046875,0.0,0.0,0.046875,caltech101_dpfpl_multi_attack_none_20260716_221803_099440_237422
caltech101,42,FedASK,0.3398264565255888,0.109375,0.04375,0.0,0.046875,0.0625,0.0,0.109375,caltech101_fedask_multi_attack_none_20260716_221606_022843_236638
caltech101,42,FedAvg,0.8705507349034886,0.03125,0.009375,0.03125,0.0,0.0,0.0,0.015625,caltech101_fedavg_multi_attack_none_20260716_223655_605742_244095
caltech101,42,HAMP,0.7990083230033647,0.25,0.065625,0.0,0.0625,0.0,0.015625,0.25,caltech101_fedavg_multi_attack_hamp_20260716_220155_135925_231627
caltech101,42,Prompt-DP,0.85337347264034,0.15625,0.065625,0.078125,0.09375,0.15625,0.0,0.0,caltech101_fedavg_multi_attack_prompt_dp_20260716_220722_463964_233317
caltech101,42,VEIL,0.8030812820966885,0.09375,0.0375,0.03125,0.03125,0.03125,0.0,0.09375,caltech101_fedavg_multi_attack_mirage_20260716_215513_630279_229182
caltech101,43,DP-FPL,0.7836019125199221,0.03125,0.00625,0.0,0.03125,0.0,0.0,0.0,caltech101_dpfpl_multi_attack_none_20260716_221449_833840_236196
caltech101,43,FedASK,0.7400389587391535,0.03125,0.009375,0.0,0.015625,0.0,0.03125,0.0,caltech101_fedask_multi_attack_none_20260716_222043_711726_238476
caltech101,43,FedAvg,0.8634673277846644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caltech101_fedavg_multi_attack_none_20260716_215255_311352_228251
caltech101,43,HAMP,0.8075084115459537,0.015625,0.00625,0.015625,0.015625,0.0,0.0,0.0,caltech101_fedavg_multi_attack_hamp_20260716_220441_692584_232527
caltech101,43,Prompt-DP,0.8014875154949531,0.0625,0.015625,0.015625,0.0,0.0,0.0,0.0625,caltech101_fedavg_multi_attack_prompt_dp_20260716_220753_475668_233500
caltech101,43,VEIL,0.8114042854613069,0.015625,0.003125,0.0,0.015625,0.0,0.0,0.0,caltech101_fedavg_multi_attack_mirage_20260716_215709_059735_229927
caltech101,44,DP-FPL,0.7557995395785373,0.03125,0.015625,0.0,0.015625,0.0,0.03125,0.03125,caltech101_dpfpl_multi_attack_none_20260716_221921_090243_237819
caltech101,44,FedASK,0.7391535328493005,0.09375,0.028125,0.0,0.03125,0.0,0.015625,0.09375,caltech101_fedask_multi_attack_none_20260716_222008_743426_238228
caltech101,44,FedAvg,0.8691340534797237,0.140625,0.034375,0.03125,0.0,0.0,0.0,0.140625,caltech101_fedavg_multi_attack_none_20260716_215357_323895_228717
caltech101,44,HAMP,0.7848415087657163,0.03125,0.01875,0.015625,0.03125,0.03125,0.0,0.015625,caltech101_fedavg_multi_attack_hamp_20260716_220523_680197_232776
caltech101,44,Prompt-DP,0.7788206127147158,0.015625,0.003125,0.0,0.0,0.0,0.0,0.015625,caltech101_fedavg_multi_attack_prompt_dp_20260716_221404_911682_235941
caltech101,44,VEIL,0.7974145564016292,0.015625,0.003125,0.0,0.015625,0.0,0.0,0.0,caltech101_fedavg_multi_attack_mirage_20260716_215956_516715_230973
dtd,42,DP-FPL,0.3851063829787234,0.015625,0.00625,0.0,0.015625,0.0,0.0,0.015625,dtd_dpfpl_multi_attack_none_20260716_223206_547633_242583
dtd,42,FedASK,0.36329787234042554,0.046875,0.015625,0.0,0.0,0.0,0.03125,0.046875,dtd_fedask_multi_attack_none_20260716_223203_424006_242554
dtd,42,FedAvg,0.46702127659574466,0.015625,0.00625,0.015625,0.0,0.0,0.0,0.015625,dtd_fedavg_multi_attack_none_20260716_222433_247687_239764
dtd,42,HAMP,0.42925531914893617,0.03125,0.009375,0.03125,0.0,0.0,0.015625,0.0,dtd_fedavg_multi_attack_hamp_20260716_222837_481418_241354
dtd,42,Prompt-DP,0.4026595744680851,0.015625,0.003125,0.0,0.015625,0.0,0.0,0.0,dtd_fedavg_multi_attack_prompt_dp_20260716_222757_582764_241072
dtd,42,VEIL,0.36648936170212765,0.046875,0.021875,0.0,0.046875,0.03125,0.03125,0.0,dtd_fedavg_multi_attack_veil_20260716_223815_224820_244442
dtd,43,DP-FPL,0.350531914893617,0.015625,0.003125,0.0,0.015625,0.0,0.0,0.0,dtd_dpfpl_multi_attack_none_20260716_223115_130135_242275
dtd,43,FedASK,0.3122340425531915,0.109375,0.021875,0.0,0.109375,0.0,0.0,0.0,dtd_fedask_multi_attack_none_20260716_223356_320044_228250
dtd,43,FedAvg,0.4765957446808511,0.046875,0.021875,0.03125,0.03125,0.0,0.0,0.046875,dtd_fedavg_multi_attack_none_20260716_222345_607186_239443
dtd,43,HAMP,0.4329787234042553,0.03125,0.01875,0.015625,0.03125,0.03125,0.0,0.015625,dtd_fedavg_multi_attack_hamp_20260716_222639_597116_240632
dtd,43,Prompt-DP,0.37872340425531914,0.015625,0.00625,0.015625,0.015625,0.0,0.0,0.0,dtd_fedavg_multi_attack_prompt_dp_20260716_223035_914808_242096
dtd,43,VEIL,0.3595744680851064,0.046875,0.021875,0.015625,0.03125,0.0,0.046875,0.015625,dtd_fedavg_multi_attack_mirage_20260716_222652_448029_240712
dtd,44,DP-FPL,0.3313829787234043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dtd_dpfpl_multi_attack_none_20260716_223309_299414_242846
dtd,44,FedASK,0.32340425531914896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dtd_fedask_multi_attack_none_20260716_223457_391516_221138
